ID,Name,Interests,Skillsets,Age,Race,Years at office,Gender,PM_Type
22,(22) Stephanie Allen,"['data analysis', 'mental health', 'clinical trials']","['IRB/Regulatory Management', 'R']",31,Hispanic,1,Female,Junior PM
29,(29) Brandon Carter,"['epidemiology', 'implementation research', 'clinical trials']","['Quantitative Data Analysis', 'Grant Submissions', 'R']",39,Asian,1,Male,Junior PM
80,(80) Lauren Martin,"['public health', 'epidemiology', 'machine learning']",['Stata'],29,Black,1,Female,Junior PM
4,(4) Emily Davis,"['implementation research', 'interventions']",['Qualitative Analysis'],44,Asian,2,Female,Junior PM
27,(27) Ryan Robinson,"['Retrospective Data Analysis', 'mental health', 'biostatistics']","['Recruitment', 'SAS']",47,Hispanic,2,Male,Junior PM
37,(37) Mark Rogers,['public health'],"['Python', 'Chart Reviews']",29,Asian,2,Male,Junior PM
38,(38) Julie Rivera,"['epidemiology', 'clinical trials']","['Qualitative Analysis', 'R']",38,Asian,2,Female,Junior PM
47,(47) Benjamin Hughes,"['public health', 'biostatistics', 'implementation research']",['IRB/Regulatory Management'],45,Asian,2,Male,Junior PM
97,(97) Gary Mitchell,['clinical trials'],['Quantitative Data Analysis'],35,White,2,Male,Junior PM
30,(30) Emma Perez,"['implementation research', 'machine learning', 'biostatistics']","['Quantitative Data Analysis', 'IRB/Regulatory Management', 'Qualitative Analysis']",29,Hispanic,3,Female,Junior PM
51,(51) Patrick Richardson,"['mental health', 'Retrospective Data Analysis', 'clinical trials']","['Stata', 'R', 'Chart Reviews']",30,Asian,3,Male,Junior PM
16,(16) Hannah King,"['machine learning', 'interventions', 'public health']",['Quantitative Data Analysis'],38,Other,4,Female,Junior PM
33,(33) Brian Collins,"['implementation research', 'interventions', 'biostatistics']","['Recruitment', 'Qualitative Analysis']",44,Asian,4,Male,Junior PM
43,(43) Scott Parker,"['clinical trials', 'Retrospective Data Analysis']",['Qualitative Analysis'],26,Hispanic,4,Male,Junior PM
71,(71) Tyler Kelly,['data analysis'],"['Recruitment', 'Python']",45,White,4,Male,Junior PM
89,(89) Paul Richardson,"['machine learning', 'health IT']",['Chart Reviews'],47,Other,4,Male,Junior PM
90,(90) Abigail Brooks,"['interventions', 'biostatistics', 'clinical trials']","['Chart Reviews', 'Recruitment']",32,Hispanic,4,Female,Junior PM
99,(99) Joe Mamma,"['interventions', 'epidemiology']",['Stata'],38,White,4,Male,Junior PM
31,(31) Kevin Evans,"['public health', 'mental health']",['Chart Reviews'],29,Hispanic,5,Male,Junior PM
